author,categoria,ciberacoso,texto,Unnamed: 4
"LaPaz30922011
",4.0,1.0,"Dalai Lama es un pedófilo que se escuda detrás de una ideología religiosa aprovechándose del supuesto poder espiritual, para abusar impunemente de los niños asqueroso degenerado, con el beneplácito de los que lo rodean",
arhianhitha,2.0,1.0,Siga de paseo bruja inútil!,
AntonioCR1974,4.0,1.0,"Fácil, que los terroristas mediáticos de 
RevistaSemana
 le pregunten a los niños si la guerrilla del ELN los tenía secuestrados.",
maicolcordoba7,2.0,1.0,Que gonorrea de persona sos vos!!!,
"mitzukague
",4.0,1.0,"Su padre es una pobre rata que se murió siendo investigado, o es mentira",
lilipiedadvalle,2.0,1.0,Sos una deforme  en todo sentido.,
"oh_wonderwall
",4.0,1.0, Danny siempre dio indicios de asesina.,
iDragonz_,2.0,1.0,"Es oh al iniciar, aprende a escribir retrasado.",
Jeisson_Cas,2.0,1.0,"Por eso estas así, empezaste mal ese día en el parto de tu mamá, saliste burra y terminarás más burra, pero mucho más despreciada",
favillau,4.0,1.0,"
Ahora se las da de héroe, rata asquerosa, deshonesto.",
tusicario0,2.0,1.0,"Lavate la boca para hablar, mongolico",
"Siillvviiss
",2.0,1.0,Paola sos una perra hpta,
Antonio_x40,2.0,1.0,Pobre burra con plata,
"Te gusta hacerte el malo, pero todos vemos un bufón",2.0,1.0,"Te gusta hacerte el malo, pero todos vemos un bufón",
"HaroldMontoya1
",2.0,1.0,Travesti inmundo!,
Spamglish,3.0,1.0,"Un Saludo A Usted que tiene de apodo ""Pupú"", por ser negro Péguese UnTiro",
efrencormach,2.0,1.0,"Si me me dijeran que me van a pagar por decirle a usted baboso, pelmazo, bueno para nada, inepto, mediocre, mentiroso, payaso, le aseguro que diría que no, eso es ganarse la plata muy suave diciendo verdades.",
UrbanoOrles,2.0,1.0,INEPTO PAYASO FRACASADO PERDEDOR,
"antonos64
",4.0,1.0,un asesino de colombianos libre gracias al gobierno criminal del guerrillero,
milagrosrdgzzz,1.0,1.0,"no te voy a pegar porq no te quiero hacer daño, esto solo es una advertencia",
Leonardo_0921,3.0,1.0,"JAJAJAJA PEDAZO DE IMBÉCIL, INÚTIL, MUÉRETE.",
Gart_C13,1.0,1.0,Te voy a matar te voy perforar los pulmones con tus costillas,
"zorracolombiana
",3.0,1.0,"Deja de quejarte de la maldita vida, si sos tan sufrida, pues suicidate y deja de joder!",
"IzzyJako
",4.0,1.0,se puso sentimental esta cucarracha asesina,
"Mauro_722
",1.0,1.0,Llegará tu sapa hijueputa caída.,
jair_sta_1709,2.0,1.0,Jajajajaja mamaburra marica y sus universos paralelos.,
pedrargo1,2.0,1.0,El cerebro de este estúpido no le da para pensar ,
elrayoazul2,4.0,1.0,"Jajajaja ,Hijueputa estafador dando explicaciones tontas, sea serio mamarracho!!",
Arbolea07,2.0,1.0,Que está escribiendo ahí bobo hijueputa,
neko_rapist77,3.0,1.0,Ojalá la navaja q uses para cortarte este oxidada y te termines matando pendeja traumada de mierda,
alfantasio,3.0,1.0,"Cuando el agua esté a cien grados, retire el recipiente con cuidado, llévelo hasta su rostro y arrójese el líquido caliente en la vista.",
jaime4106,2.0,1.0,"Esta mujer se lava la boca con desinfectante, qué mujer tan boquisucia, no hay derecho en mi humilde opinión.",
"DanielaBenjume1
",3.0,1.0,Le exige amistad cuando la ilusiona y regresa de nuevo con su ex.  PeguesUTiro  oiga,
srdoncalzonH,2.0,1.0,"Y borras Twits, aparte de estúpido, cagón",
Camilo_Lara_,4.0,1.0,Estamos llenos de niños rata ,
juayluda10,3.0,1.0,"sos una decepción para tu madre, matate mejor",
jhonfDerecha,4.0,1.0,¿Como calificarías la gestión del Guerrillero Gustavo Petro como presidente de Colombia 🇨🇴?,
colombianowar,4.0,1.0,Lameculos y usted aprovecha para meter el cuchillo como delincuente que es,
alejandra1777,2.0,1.0,Cuando se dará por enterado que a usted ni su madre lo quiere ??,
Brianl_07,2.0,1.0,bocón de mierda.,
"maurosul
",4.0,1.0,"Increíble, reprochable, vergonzoso y humillante que una criminal y asesina como ud sea congresista.",
erikamdsc,2.0,1.0,Perro asqueroso. Ya lo sabíamos. Con esa cara de oligarca.,
PortugalloLucho,2.0,1.0,En Twitter desde el 2011 y no has trinado nada de autoría.Zoquete atolondrado!,
rubenlubo,2.0,1.0,Papi ¿que pasó aquí? ¿Cuánto le pasaron para que eliminara el tuit y se hiciera el marica? Si lo están amenazando hable pendejo,
"adrian236
",4.0,1.0,"No estaría sembrando café cuando le paso eso. lo lamento pero eso le paso por asesino y bandolero, no por ser un angelito del señor.",
Joycemar_pc,2.0,1.0,malparida será su madre para criar escoria tan grande como usted,
"merv59
·",4.0,1.0,Me hiciste acordar cuando ingresé a un almacén con mi hijo de 4 años. Vale decir que le tengo asco a las ratas y mucho miedo. Pasó una rata y mi hijo la perseguía para cogerla y acariciarla porque era Michy Mouse,
alretegui,3.0,1.0,Serás recordada como una escoria traidora,
RoronoaZoro2013,2.0,1.0,"Ay deje de ser delicado bobo hpta, vendido te mal pa ri do de 💩, te quiero ver hablando esas mismas chimbadas cuando esa loca cabal hace lo mismo... Payaso hpta",
"DiputadocarlosB
",4.0,1.0,"Q dirá la diputada del UCDemocratico Claudia Margarita Zuleta Primero su padre Poncho Zuleta
 abiertamente demuestra su afinidad por el Paramilitarismo (Que viva Colombia tierra paramilitar, fue su frase) y ahora su tío FabioZuleta esta jugando a ser Paraco",
caicedocjulian,2.0,1.0,"Lo que vos decís no nos parece polémico, siempre nos parece estúpido, porque vos sos medio bobo y pa colmo nos lo compartis.",
juliantorressal,1.0,1.0,Voy a publicar tus fotos en pelota que me mandaste por falsa hp 😂😂,
I_am_oztin,2.0,1.0,CUALES AMENAZAS IMBECIL SI SE ESTÁ SIENDO FRANCO CON LO QUE SE DICE. ARRODILLADO,
vuletichsm1,2.0,1.0,SOS UN HIJUEPUTA BASTARDO,
Zoe_GH04,2.0,1.0,con la zorra de tu madre tal vez,
vjusagui,2.0,1.0,"Aquí el desadaptado y resentido es ud, pedazo de HP bobo, ni leer sabés.",
"sortier
",4.0,1.0,"En el Transmilenio que voy hay un chico con una rata y la bichita es toda bonita, y lo busca y juegan. Me dio ternura",
RoronoaZoro2013,2.0,1.0,Bobo hpta asqueroso,
_barbao,2.0,1.0,El propio lameculos.,
JulinRP3,2.0,1.0,Callen a este enano de circo 🎪,
guadvema,2.0,1.0,Este mamarracho en 6 meses de gorra del erario público cuántas cirugías lleva ya?,
tusicario0,2.0,1.0,Las garroteras que le dan a este mongolico? Como disfruto,
LeonardoCurzio,4.0,1.0,Grupos vestido de negro con pinta paramilitar en rectoría,
AbelardoGmezLo1,2.0,1.0,"Hija de puta ya te nombraron presidente por ese logro que Cualquier analfabeta la pide y la entregan sin tanto escándalo aterrice atembada ,yo tengo el perfil suyo,es:Tonta, bobalicona ,atolondrada, desadaptada social, idiota útil, escoria,carroñera,si quiere más se le tiene",
Diablorojo19966,2.0,1.0,"JAJAJAJAJAJA att: el cocalero de Gacha en Madrid jajaja de casualidad llevaste a tu madre a prostituirse también? y en inglés también te puedo enseñar a escribir malparido rolo arrastrado jajajajaja vaya y se acuesta en su banca de ciudad bolivar, bocón de mierda de equipo chico.",
CALVINLUCI,3.0,1.0,"No por ser domingo se me olvidó, así que aquí tienes tu recordatorio diario: CERDO TREINTAHIJEPUTA ESTAS MATANDO AL PUEBLO QUE TE PUSO ALLÁ ( bueno los burribistas) morite de una vez a ver si nos dejas ser felices sapo perro hp!",
_JorgeAndres97,3.0,1.0,Ese dj mezclaba mal las canciones mijo pEgUese Un TiRO,
jjuansacco_,1.0,1.0,te voy a violar pendejo te voy a torturar,
"ArmandoMonty5
",2.0,1.0,"Bobo hpta, si vos",
PaulSebasRiddle,2.0,1.0,"Mentirosa, bochinchera.",
MOinternationa,4.0,1.0,"Que vergüenza, que asco y que rabia tener a este esquizofrénico guerrillero 
@petrogustavo
 de Presidente. ",
alvertberrio,2.0,1.0,"Este si es un desadaptado, este señor necesita tratamiento psicológico o hasta psiquiátrico",
jhoncito20001,2.0,1.0,Tu tambien pedazo de estupido vete de la vida que das asco,
MauricioRendon,2.0,1.0,mucho mamahuevo sos vos,
ArlesRiveraMed1,2.0,1.0,Ojo con este atolondrado que con esa cara de bobo es más peligroso que un barbero con ataques epilépticos.,
HELMITOSANTO,4.0,1.0,"Semana es un chiste que se cuenta solo, igual que usted payaso desteñido. Y los petristas estamos contentos viendo llorar a tanta rata Uribestia.  Y como dijo Francia: , puede llorar!  Y puede seguir llorando con ama la perra Cabal... Esclavo.",
diegod8921,2.0,1.0,"Imbecil, parásito, bobo hp",
haroldsanc13,2.0,1.0,"que pedazo de idiota se les acabó el país del robo a los impuestos, están llorando porque no pueden robar más para Uds. payasa",
HugoSandovalVi1,4.0,1.0,"Usted no es más que una criminal, alcahuete de criminales de lesa humanidad,",
Nicolas115935,3.0,1.0,TU PUTA MADRE SI TANTO TE QUIERES MORIR SUICIDATE,
marcaocondo31,1.0,1.0,"por que HUYES, COBARDE. Estas perdido y nadie te va a salvar.",
"LorenSori
",4.0,1.0,"
Siempre lo digo el ""Profesional"" que falsifica un titulo es una rata",
"fergussondavid
",4.0,1.0,Toda una rata asesina,
"VSensatez
",4.0,1.0,Manipuladora y mitómana con las típicas practicas del bajo mundo de la Neo Paraco Mafia del siglo XXI . Digna representante y secretaria ( y el esposo el cargamaletas ) del patrón.,
_SOYGUTIERREZ,2.0,1.0,"Vicky, más lameculos que periodista.",
juliaquiroz_,1.0,1.0, Perra inmunda quiero q sepas q te voy a encontrar y te voy a dejar calva,
